line_num,text,issue,corrected_text
160,' The southernmost peak markinu the end of the Cordillera Bianca is the flaciated R.i|utuna.,possible OCR: multiple character substitutions in place names and descriptive adjective,The southernmost peak marking the end of the Cordillera Blanca is the glaciated Rajutuna.
162,"the second highest peak ot l' eru is the greatest height vet imscale.l in South America, and an attraction of the 5 Tin Sin y.itiliiiul party und imiUttirs Hack row (1 to r):","possible OCR: corrupted place names, merged words, and numerical distortion","The second highest peak of Peru is the greatest height yet unclimbed in South America, and an attraction of the 1950 Swiss and Italian party and climbers. Back row (l to r):"
163,"David Adcock, Lloyd (iaHa^'hcr, I'ctcr Harry, Rcihm Hrooks, Judy Brooks.",possible OCR: corruption of personal names through character substitution,"David Adcock, Lloyd G. Haffner, Peter Harry, Robin Brooks, Judy Brooks."
164,"Allan Shcppard, (iracmc Din l-'ront row (I In rl:",possible OCR: corruption of personal names and punctuation insertion,"Allan Sheppard, Graham Din. Front row (l to r):"
168,"Julian, Kn-dc-rico, llidaluo, Kcm-r Hates, Si-rnio greatest importance to mountaineers '.",possible OCR: corruption of personal names through character substitution and merged letters,"Julian, Federico, Hidalgo, Kemper Hates, Sernio greatest importance to mountaineers."
171,"Much had probably taken place since Kinzl 's book had been published, so I set about reading up all the climbing history of the Cordillera Huayhuash, which is a small mountain range in central Peru covering approximately 250 square miles.",possible OCR: minor punctuation and possessive/apostrophe normalization,"Much had probably taken place since Kinzl’s book had been published, so I set about reading up all the climbing history of the Cordillera Huayhuash, which is a small mountain range in central Peru covering approximately 250 square miles."
172,Entities: [Cordillera Huayhuash|MOUNTAIN],no significant OCR errors detected,Cordillera Huayhuash
173,"It lies thirty-five miles south-east ot the better known Cordillera Hlanea, and is 100 miles due north of Lima.",possible OCR: geographical name corruption and minor preposition/spacing errors,"It lies thirty-five miles south-east of the better known Cordillera Blanca, and is 100 miles due north of Lima."
175,"Verupaja 21,765 ft (6634 m) is the highest mountain m the range, and the second highest in Peru, the highest being Huascaran 22,20^ ft (676 S m) in the Cordillera Hlanea.","possible OCR: multiple geographic name, number, and diacritic corruption errors","Verupaja 21,765 ft (6634 m) is the highest mountain in the range, and the second highest in Peru, the highest being Huascarán 22,205 ft (6768 m) in the Cordillera Blanca."
177,"In November 10.66, before news ot the current season 's attempts had reached us, I presented a report to the Wellington Section committee showing that Yerupaja had been climbed only once, by Harrah and Maxwell in 1950, and that nine expeditions had since been unsuccessful in their attempts at a second ascent!","possible OCR: multiple date, spelling, and punctuation corruption errors","In November 1966, before news of the current season’s attempts had reached us, I presented a report to the Wellington Section committee showing that Yerupajá had been climbed only once, by Harrah and Maxwell in 1950, and that nine expeditions had since been unsuccessful in their attempts at a second ascent."
178,"Entities: [Wellington|MOUNTAIN], [Yerupaja|MOUNTAIN]",possible OCR: entity misclassification and spelling normalization errors,"Wellington, Yerupajá"
186,"Early in 1967 I learned the results of the 1966 climbing season in the Cordillera Huayhuash, where the main summit of Yerupaja had been climbed no less than three times by expeditions following almost in each other 's footsteps, and a further two unsuccessful attempts.","possible OCR: minor punctuation, possessive spacing, and diacritic errors","Early in 1967 I learned the results of the 1966 climbing season in the Cordillera Huayhuash, where the main summit of Yerupajá had been climbed no less than three times by expeditions following almost in each other’s footsteps, and a further two unsuccessful attempts."
187,"Entities: [Cordillera Huayhuash|MOUNTAIN], [Yerupaja|MOUNTAIN]",no significant OCR errors detected,"Cordillera Huayhuash, Yerupajá"
192,"I had not mentioned the possibility of a first traverse, though when writing to Leif Patterson about his attempt on the Northwest spur in 1963, I said that we would have sufficient manpower and equipment to try the traverse.",possible OCR: minor capitalization and punctuation normalization,"I had not mentioned the possibility of a first traverse, though when writing to Leif Patterson about his attempt on the northwest spur in 1963, I said that we would have sufficient manpower and equipment to try the traverse."
196,"The z\ tons of food and equipment was trans-shipped to the southbound Rossini at Panama, from where I flew to Lima to await its arrival, the other members joining us from Canada.",possible OCR: severe character corruption and numeral misrecognition,"The 2 tons of food and equipment was trans-shipped to the southbound Rossini at Panama, from where I flew to Lima to await its arrival, the other members joining us from Canada."
198,"On 13 May we left Lima by chartered bus for Chiquian, arriving there at 5 l'f (t \nrth~7ii.",possible OCR: severe character corruption in time notation and place name,"On 13 May we left Lima by chartered bus for Chiquián, arriving there at 5 pm (in the afternoon)."
199,"s7 spur tif) i nifïtii.i, Xmlli Suttnnit, < nul wain summit {n ^ tTiip.tja L' hiticr","possible OCR: severe character corruption, broken word boundaries, and multi-line caption fragmentation","South spur to northwest summit, and main summit of Yerupajá (Cordillera Huayhuash)."
204,"As the mules « ere a day late in arriving, we lelt (. '",possible OCR: severe character corruption and punctuation/word substitution errors,"As the mules were a day late in arriving, we left."
217,"During the next nine days Camp III was sited in a crevasse at 20,300 ft on the spur.",no significant OCR errors detected,"During the next nine days Camp III was sited in a crevasse at 20,300 ft on the spur."
219,"Then by Bates and Dingle, who continued the route up to Camp III, assisted on the last day by Brooks and Gallagher..",possible OCR: minor punctuation corruption and sentence fragmentation,"Then by Bates and Dingle, who continued the route up to Camp III, assisted on the last day by Brooks and Gallagher."
220,"Meanwhile the rest of the team were stocking Camp II, with a notable effort by Judy, who not only made more carries than the rest of us, but was always a willing volunteer when others were tired.",no significant OCR errors detected,"Meanwhile the rest of the team were stocking Camp II, with a notable effort by Judy, who not only made more carries than the rest of us, but was always a willing volunteer when others were tired."
221,"On 20 June, the thirty-fifth day after our arrival at Base, while Bates and Dingle were between Camps II and III, a sérac caused an avalanche to sweep over 700 ft of the route, removing fixed ropes and pitons.",no significant OCR errors detected,"On 20 June, the thirty-fifth day after our arrival at Base, while Bates and Dingle were between Camps II and III, a sérac caused an avalanche to sweep over 700 ft of the route, removing fixed ropes and pitons."
222,"They had a miraculous escape and continued on to Camp III, crossing and recrossing the avalanche track, until they reported to me by radio from above the danger zone.",no significant OCR errors detected,"They had a miraculous escape and continued on to Camp III, crossing and recrossing the avalanche track, until they reported to me by radio from above the danger zone."
223,"At this stage I decided to abandon the Northwest spur as a route of ascent for the expedition, but as they were now at Camp III, Bates and Dingle elected to attempt the North Summit on the following day, when they reached the virgin 21,500 ft summit at 12.30.",possible OCR: minor capitalization and typographic normalization,"At this stage I decided to abandon the Northwest Spur as a route of ascent for the expedition, but as they were now at Camp III, Bates and Dingle elected to attempt the North Summit on the following day, when they reached the virgin 21,500 ft summit at 12.30."
225,"After a cold and windy night it clouded by early morning, and as Dingle was showing signs of slight frost-bite they descended to spend a further night at Camp III.",possible OCR: minor grammatical and hyphenation normalization,"After a cold and windy night it clouded by early morning, and as Dingle was showing signs of slight frostbite they descended to spend a further night at Camp III."
226,"Meanwhile Barry and I established a Camp IIla above Rasac Col at 18,800 ft to prepare for the possibility of a traverse by Bates and Dingle, TWO lWKTII'.SVi:i(ri >.",possible OCR: severe character corruption and terminal fragment noise,"Meanwhile Barry and I established a Camp IIIa above Rasac Col at 18,800 ft to prepare for the possibility of a traverse by Bates and Dingle."
228,"When I learned by radio that Hates and Dingle were descending from Camp III to Camp II, we also returned to Camp II, arriving only a few minutes after them.",possible OCR: minor character substitution and spelling corruption,"When I learned by radio that Bates and Dingle were descending from Camp III to Camp II, we also returned to Camp II, arriving only a few minutes after them."
230,"Dingle had suffered superficial trost-bite m both sets of toes, and returned to Base Camp the following day, while Brooks and Gallagher left for Camp Ilia to reconnoitre the route on the South-west ridge.","possible OCR: minor spelling, hyphenation, and capitalization errors","Dingle had suffered superficial frostbite in both sets of toes, and returned to Base Camp the following day, while Brooks and Gallagher left for Camp IIIa to reconnoitre the route on the southwest ridge."
233,"I then returned to join Dingle at Base Camp on 26 June (forty-first day) whilst the others stocked the new Camp Ilia above Rasac Col, and the recce team above made a route to just over 20,000 ft.",possible OCR: severe numeric corruption and Roman numeral / punctuation error,"I then returned to join Dingle at Base Camp on 26 June (forty-first day), whilst the others stocked the new Camp IIIa above Rasac Col, and the recce team above made a route to just over 20,000 ft."
234,"On the following day Bates and Gallagher reached the 21,37s ft South Summit returning to Camp Ilia;",possible OCR: severe numeric corruption and Roman numeral consistency errors,"On the following day Bates and Gallagher reached the 21,375 ft South Summit, returning to Camp IIIa."
235,"and two days later Bates and Gallagher, Barry and Sheppard and R. and J. Brooks established Camp IV on a good site at 21,300 ft, after which the two last parties completed the 7^ ft climb to the South Summit, and then returned to Camp Ilia, leaving Bates and Gallagher to attempt the Main Summit on the morrow.","possible OCR: severe numeric corruption, punctuation errors, and Roman numeral inconsistencies","And two days later Bates and Gallagher, Barry and Sheppard, and R. and J. Brooks established Camp IV on a good site at 21,300 ft, after which the two last parties completed the 7,000 ft climb to the South Summit, and then returned to Camp IIIa, leaving Bates and Gallagher to attempt the Main Summit on the morrow."
240,"and I continued on to Camp Ilia for the evening radio contact at 6, when we excitedly learned from Bates and Gallagher of their successful climb.",possible OCR: minor Roman numeral and punctuation normalization,"And I continued on to Camp IIIa for the evening radio contact at 6, when we excitedly learned from Bates and Gallagher of their successful climb."
242,"On the following day Barry and Sheppard and R. and J. Brooks climbed to Camp IV, while Bates, Gallagher, Dingle and I occupied Camp Ilia.",possible OCR: incorrect camp numbering through character confusion,"On the following day Barry and Sheppard and R. and J. Brooks climbed to Camp IV, while Bates, Gallagher, Dingle and I occupied Camp IIIa."
243,"Whilst a more protracted summit assault would have avoided overcrowding the single mountain tent at Camp IV, it was also apparent that the weather would not hold for more than a few days, so the occupants of Camp IV gallantly sacrificed a chance of getting some sleep on the eve of their summit climb, and faced the prospect of having to go straight down to Camp Ilia when they returned.",possible OCR: incorrect camp numbering through character confusion,"Whilst a more protracted summit assault would have avoided overcrowding the single mountain tent at Camp IV, it was also apparent that the weather would not hold for more than a few days, so the occupants of Camp IV gallantly sacrificed a chance of getting some sleep on the eve of their summit climb, and faced the prospect of having to go straight down to Camp IIIa when they returned."
245,"North Summit, un-namcd pi-ak (5 X^0 nil, \\rupaia C' hico U-xtrrmr nu'ht), twin pr.iks l [ irishhaiH'a, Rniuloy Uxtivnu-kit liiK'kyrniiiKl), Xinashhanca from Camp II hi to the South Summit and then down to Camp IV, where we were able to street Barry, Sheppard ami R. and J. Brooks on their return from the Main Summit.","possible OCR: severe corruption of geographical names, numerical distortion, and incorrect camp numbering","North Summit, unnamed peak (5,500 m approx.), Yerupajá Chico (extreme right), twin peaks of Jirishanca, Rondoy (extreme ridge), Siulá Grande from Camp IIIa to the South Summit and then down to Camp IV, where we were able to greet Barry, Sheppard and R. and J. Brooks on their return from the Main Summit."
246,"On the following day Dingle and I set out tor the Main Summit, which we reached at 1 iam, appreciating at every step the magnificent effort made by Bates and (iallagher three days before.",possible OCR: character substitution in personal names and numerical distortion in time notation,"On the following day Dingle and I set out for the Main Summit, which we reached at 11 am, appreciating at every step the magnificent effort made by Bates and Gallagher three days before."
247,"Kven though it had started to cloud we decided to descend the virgin North ridge, choosing the sätest path between the delicate cornices on our lett (one ot these vanished quite alarmingly when tested trom a safe position), and wmdslah on our right.",possible OCR: character substitution in technical climbing terminology and directional names,"Even though it had started to cloud we decided to descend the virgin north ridge, choosing the safest path between the delicate cornices on our left (one of these vanished quite alarmingly when tested from a safe position), and windslab on our right."
250,"The descent to Camp III was tedious, as no fixed ropes were placed during the first ascent twelve days before, thereafter all fixed ropes were in place but needed a lot of effort to free them from grooves they had formed in the ice.",possible OCR: punctuation omission causing sentence run-on,"The descent to Camp III was tedious, as no fixed ropes were placed during the first ascent twelve days before; thereafter all fixed ropes were in place but needed a lot of effort to free them from grooves they had formed in the ice."
251,"Dingle, whose descent technique was fast and sure, did all the work on our way down to the old Camp II site, where we arrived S 1 hours later just as it got dark.e had a torch with us, though I knew the route down through the ice-fall to Camp lia, where we were greeted by the Camp IV quartet who had laboured throughout the day striking Camp Ilia and taking down the stores that remained.","possible OCR: numerical distortion, sentence merging, and incorrect camp numbering through character confusion","Dingle, whose descent technique was fast and sure, did all the work on our way down to the old Camp II site, where we arrived five hours later just as it got dark. We had a torch with us, though I knew the route down through the icefall to Camp IIIa, where we were greeted by the Camp IV quartet who had laboured throughout the day striking Camp IIIa and taking down the stores that remained."
255,Siiimillt ut) irupaja.,possible OCR: severe corruption of place name and character substitution,"Siulá Grande, Yerupajá."
257,"(init/nu1 I) inük- stiiiuiinu ' cloud for most ot the day, and elsewhere it was overcast.",possible OCR: severe corruption at sentence beginning and character substitution,"In the morning it remained clouding over for most of the day, and elsewhere it was overcast."
258,"Meanwhile, Bates and (iallagher had decided to complete the traverse also, and were at Camp IV hoping the weather would hold.",possible OCR: character substitution in personal names,"Meanwhile, Bates and Gallagher had decided to complete the traverse also, and were at Camp IV hoping the weather would hold."
259,"On 4 July, Bates and (iallagher successfully completed the second traverse m nine hours, without the benefit ot a fixed rope on the south side of the Main Summit, w liilst Harry and Brooks set out from Camp lia, climbed to the South Summit, packed Camp IV, and returned attain to Camp lia a fine effort in rapidly deteriorating conditions.","possible OCR: character substitution in personal names, incorrect camp numbering, and word distortion","On 4 July, Bates and Gallagher successfully completed the second traverse in nine hours, without the benefit of a fixed rope on the south side of the Main Summit, whilst Harry and Brooks set out from Camp IIIa, climbed to the South Summit, packed Camp IV, and returned again to Camp IIIa, a fine effort in rapidly deteriorating conditions."
265,"We left our Base Camp at Jahuacocha on 29 July (seventy-fourth day), with twelve donkeys, eight mules and tour arrici'(/.\\ stopping overnight at IJamac, where the expedition had been invited to inaugurate five new water fountains and become patrons of the project.","possible OCR: corruption of Spanish terms, place names, and character substitution","We left our Base Camp at Jahuacocha on 29 July (seventy-fourth day), with twelve donkeys, eight mules and four arrieros, stopping overnight at Llamac, where the expedition had been invited to inaugurate five new water fountains and become patrons of the project."
270,"No porters were used on the expedition, only one camp guard was employed and the team members carried all stores to the high camps amounting to approximately 1500 lbs to Camp I, 900 lbs to Camp II (of which ^00 lbs was moved to become Camp Ha), about 160 lbs to Camp III, 250 lbs to Camp Ilia, and 60 lbs to Camp IV.",possible OCR: numerical distortion and incorrect camp numbering through character confusion,"No porters were used on the expedition, only one camp guard was employed and the team members carried all stores to the high camps, amounting to approximately 1500 lbs to Camp I, 900 lbs to Camp II (of which 500 lbs was moved to become Camp IIa), about 160 lbs to Camp III, 250 lbs to Camp IIIa, and 60 lbs to Camp IV."
299,"Dishevelled and disorganised, we contrasted sadly to this model expedition, with its tallies, chairs, and typewriters.",no significant OCR errors detected,"Dishevelled and disorganised, we contrasted sadly to this model expedition, with its tallies, chairs, and typewriters."
306,"We kept telling each other that, of course, though ice climbs always look vertical head on, they simply ca n't be ... simply ca n't be?",possible OCR: spacing errors around contractions and punctuation inconsistency,"We kept telling each other that, of course, though ice climbs always look vertical head-on, they simply can’t be… simply can’t be?"
313,but we must hope it will come.,no significant OCR errors detected,but we must hope it will come.
314,Kmploying expedition tactics on what is essentially an Alpine-route is as absurd as nailing Cenotaph Corner:,possible OCR: character substitution and merged letters,Employing expedition tactics on what is essentially an Alpine route is as absurd as nailing Cenotaph Corner:
318,"This issue is becoming acute, as m the 70s some of the greatest remaining possibilities will be attempted.",possible OCR: character substitution in prepositions,"This issue is becoming acute, as in the 70s some of the greatest remaining possibilities will be attempted."
319,"The incredible faces in Patagonia, Alaska and the Karakoram, possibly represent the last new dimension in mountaineering.ill we confront these in the spirit of C' assin on the Grandes Jorasses, Joe Brown on his climbs, and C' houinard and Herbert on the Muir Wall?",possible OCR: sentence boundary merging and corruption of personal names,"The incredible faces in Patagonia, Alaska and the Karakoram possibly represent the last new dimension in mountaineering. Will we confront these in the spirit of Cassin on the Grandes Jorasses, Joe Brown on his climbs, and Chouinard and Herbert on the Muir Wall?"
351,"Till- AMAZON 1-ACKlo, ice-bridges had disappeared; it was becoming absurd.",possible OCR: severe corruption of route or face name through character substitution,"Till Amazon peak, ice-bridges had disappeared; it was becoming absurd."
352,Oti at last we grinned at each other and the (Jods  it had been a bad day.,possible OCR: character substitution and punctuation corruption,Oh at last we grinned at each other and the Gods—it had been a bad day.
379,"We hoped the séracs would be our home, but as time passed the dismal possibility",no significant OCR errors detected,"We hoped the séracs would be our home, but as time passed the dismal possibility"
409,we will wait for them.,no significant OCR errors detected,we will wait for them.
415,"Again it is night, again we are rappelling.",no significant OCR errors detected,"Again it is night, again we are rappelling."
