line_num,text,issue,corrected_text
79,He ran out 130 ft at best Californian speed and he still was n't there.,possible OCR: incorrect spacing in contraction,He ran out 130 ft at best Californian speed and he still wasn’t there.
81,' Is it big enough to cook onWait till you see it '.,possible OCR: missing punctuation and incorrect spacing around quotation marks,Is it big enough to cook on? Wait till you see it.’
82,"I still had hopes of reaching the shoulder, but darkness came when I was half way up the pitch.",no significant OCR errors detected,"I still had hopes of reaching the shoulder, but darkness came when I was half way up the pitch."
101,I woke to find myself falling  the ' good ' peg had come out.,possible OCR: corrupted dash character and inconsistent spacing around quotation marks,I woke to find myself falling — the ‘good’ peg had come out.
102,"I never came onto the belays, for after slipping only a couple of feet I was held, mostly by Mike 's hand on the back of my neck but partly, I swear, by will-power.",possible OCR: corrupted apostrophe spacing,"I never came onto the belays, for after slipping only a couple of feet I was held, mostly by Mike’s hand on the back of my neck but partly, I swear, by will-power."
106,"Mike was less fortunate  his anorak was less waterproof, he was still under a bigger drip, and he did n't sleep at all.",possible OCR: corrupted dash character and incorrect spacing in contraction,"Mike was less fortunate — his anorak was less waterproof, he was still under a bigger drip, and he didn’t sleep at all."
111,I had to untie one rope and still needed all my strength to move the other.,no significant OCR errors detected,I had to untie one rope and still needed all my strength to move the other.
121,Fiorelli was engaged on his two-way radio and we gathered from snatches overheard that he was talking about us.,no significant OCR errors detected,Fiorelli was engaged on his two-way radio and we gathered from snatches overheard that he was talking about us.
125,"We paid our bills, and set off for the valley where, it seemed, the whole world was waiting for us.",no significant OCR errors detected,"We paid our bills, and set off for the valley where, it seemed, the whole world was waiting for us."
148,"l'.ML'l.md, when several members ot the Mountain Club planned to \1s1t the Cordillera Bianca.",possible OCR: severe character corruption and letter substitution,"I arrived, when several members of the Mountain Club planned to visit the Cordillera Blanca."
150,"As a start to preparations I pored through maps and relcrcnces m the Royal (ieoL'i.iphical Society 's library, collected books and maps, and started to revise the Spanish I had learned in Spam live years earlier.",possible OCR: severe character corruption and letter substitution,"As a start to preparations I pored through maps and references in the Royal Geographical Society’s library, collected books and maps, and started to revise the Spanish I had learned in Spain five years earlier."
152,"In |une 1 i/ > o, alter two aeti\ e climhmi;",possible OCR: severe character corruption and letter substitution,"In June 1970, after two active climbing seasons"
153,"seasons in New Zealand, w here I now live, it was proposed that the time had come lor the Wellington Section ot the New Zealand Alpinelub to promote its ow 11 o\ else.is expedition.",possible OCR: severe character corruption and missing spacing,"seasons in New Zealand, where I now live, it was proposed that the time had come for the Wellington Section of the New Zealand Alpine Club to promote its own overseas expedition."
154,Entities: [Wellington|MOUNTAIN],entity classification issue rather than text corruption,[Wellington | CITY]
156,I had read ill Km/1.,possible OCR: severe truncation and character corruption,I had read ill from it.
157,"mil Schneider 's bookoitlillan li/tinrti, published 111 11) 50, about 1 > erupaia.",possible OCR: severe character corruption in names and titles,"I had read Emil Schneider’s book Cordillera Blanca, published in 1950, about Yerupajá."
160,' The southernmost peak markinu the end of the Cordillera Bianca is the flaciated R.i|utuna.,possible OCR: severe character corruption and letter substitution,The southernmost peak marking the end of the Cordillera Blanca is the glaciated Rajutuna.’
162,"the second highest peak ot l' eru is the greatest height vet imscale.l in South America, and an attraction of the 5 Tin Sin y.itiliiiul party und imiUttirs Hack row (1 to r):",possible OCR: severe character corruption and letter substitution,"The second highest peak of Peru is the greatest height yet unscaled in South America, and an attraction of the 1957 New Zealand party and mountaineers back row (l to r):"
163,"David Adcock, Lloyd (iaHa^'hcr, I'ctcr Harry, Rcihm Hrooks, Judy Brooks.",possible OCR: severe character corruption in personal names,"David Adcock, Lloyd Gallagher, Peter Harry, Reihan Brooks, Judy Brooks."
164,"Allan Shcppard, (iracmc Din l-'ront row (I In rl:",possible OCR: severe character corruption in personal names and caption formatting,"Allan Sheppard, Graeme Dinn. Front row (l to r):"
168,"Julian, Kn-dc-rico, llidaluo, Kcm-r Hates, Si-rnio greatest importance to mountaineers '.",possible OCR: severe character corruption in personal names and punctuation,"Julian, Frederico, Hidalgo, Kenner Bates, Sergio — of greatest importance to mountaineers."
171,"Much had probably taken place since Kinzl 's book had been published, so I set about reading up all the climbing history of the Cordillera Huayhuash, which is a small mountain range in central Peru covering approximately 250 square miles.",possible OCR: incorrect spacing around apostrophe,"Much had probably taken place since Kinzl’s book had been published, so I set about reading up all the climbing history of the Cordillera Huayhuash, which is a small mountain range in central Peru covering approximately 250 square miles."
172,Entities: [Cordillera Huayhuash|MOUNTAIN],no significant OCR errors detected,Cordillera Huayhuash
173,"It lies thirty-five miles south-east ot the better known Cordillera Hlanea, and is 100 miles due north of Lima.",possible OCR: letter substitution in place name and incorrect spacing,"It lies thirty-five miles south-east of the better known Cordillera Blanca, and is 100 miles due north of Lima."
175,"Verupaja 21,765 ft (6634 m) is the highest mountain m the range, and the second highest in Peru, the highest being Huascaran 22,20^ ft (676 S m) in the Cordillera Hlanea.",possible OCR: severe character corruption in place names and numerical values,"Yerupajá 21,765 ft (6634 m) is the highest mountain in the range, and the second highest in Peru, the highest being Huascarán 22,205 ft (6768 m) in the Cordillera Blanca."
177,"In November 10.66, before news ot the current season 's attempts had reached us, I presented a report to the Wellington Section committee showing that Yerupaja had been climbed only once, by Harrah and Maxwell in 1950, and that nine expeditions had since been unsuccessful in their attempts at a second ascent!","possible OCR: severe character corruption in dates, apostrophes, and place names","In November 1966, before news of the current season’s attempts had reached us, I presented a report to the Wellington Section committee showing that Yerupajá had been climbed only once, by Harrah and Maxwell in 1950, and that nine expeditions had since been unsuccessful in their attempts at a second ascent!"
178,"Entities: [Wellington|MOUNTAIN], [Yerupaja|MOUNTAIN]",possible OCR: no significant OCR errors detected in the names themselves,Wellington; Yerupajá
186,"Early in 1967 I learned the results of the 1966 climbing season in the Cordillera Huayhuash, where the main summit of Yerupaja had been climbed no less than three times by expeditions following almost in each other 's footsteps, and a further two unsuccessful attempts.",possible OCR: incorrect spacing around apostrophe and missing accent in place name,"Early in 1967 I learned the results of the 1966 climbing season in the Cordillera Huayhuash, where the main summit of Yerupajá had been climbed no less than three times by expeditions following almost in each other’s footsteps, and a further two unsuccessful attempts."
187,"Entities: [Cordillera Huayhuash|MOUNTAIN], [Yerupaja|MOUNTAIN]",possible OCR: missing accent in place name,Cordillera Huayhuash; Yerupajá
192,"I had not mentioned the possibility of a first traverse, though when writing to Leif Patterson about his attempt on the Northwest spur in 1963, I said that we would have sufficient manpower and equipment to try the traverse.",no significant OCR errors detected,"I had not mentioned the possibility of a first traverse, though when writing to Leif Patterson about his attempt on the Northwest Spur in 1963, I said that we would have sufficient manpower and equipment to try the traverse."
196,"The z\ tons of food and equipment was trans-shipped to the southbound Rossini at Panama, from where I flew to Lima to await its arrival, the other members joining us from Canada.",possible OCR: corrupted numerical quantity and character substitution,"The 2½ tons of food and equipment was trans-shipped to the southbound Rossini at Panama, from where I flew to Lima to await its arrival, the other members joining us from Canada."
198,"On 13 May we left Lima by chartered bus for Chiquian, arriving there at 5 l'f (t \nrth~7ii.",possible OCR: severe corruption in time notation and trailing text,"On 13 May we left Lima by chartered bus for Chiquián, arriving there at 5 p.m."
199,"s7 spur tif) i nifïtii.i, Xmlli Suttnnit, < nul wain summit {n ^ tTiip.tja L' hiticr",possible OCR: severe character corruption and fragmentation,"West spur of Yerupajá, North Summit, and main summit of Yerupajá Glacier"
204,"As the mules « ere a day late in arriving, we lelt (. '",possible OCR: severe character corruption and truncation,"As the mules were a day late in arriving, we left..."
217,"During the next nine days Camp III was sited in a crevasse at 20,300 ft on the spur.",no significant OCR errors detected,"During the next nine days Camp III was sited in a crevasse at 20,300 ft on the spur."
219,"Then by Bates and Dingle, who continued the route up to Camp III, assisted on the last day by Brooks and Gallagher..",possible OCR: duplicated punctuation,"Then by Bates and Dingle, who continued the route up to Camp III, assisted on the last day by Brooks and Gallagher."
220,"Meanwhile the rest of the team were stocking Camp II, with a notable effort by Judy, who not only made more carries than the rest of us, but was always a willing volunteer when others were tired.",no significant OCR errors detected,"Meanwhile the rest of the team were stocking Camp II, with a notable effort by Judy, who not only made more carries than the rest of us, but was always a willing volunteer when others were tired."
221,"On 20 June, the thirty-fifth day after our arrival at Base, while Bates and Dingle were between Camps II and III, a sérac caused an avalanche to sweep over 700 ft of the route, removing fixed ropes and pitons.",no significant OCR errors detected,"On 20 June, the thirty-fifth day after our arrival at Base, while Bates and Dingle were between Camps II and III, a sérac caused an avalanche to sweep over 700 ft of the route, removing fixed ropes and pitons."
222,"They had a miraculous escape and continued on to Camp III, crossing and recrossing the avalanche track, until they reported to me by radio from above the danger zone.",no significant OCR errors detected,"They had a miraculous escape and continued on to Camp III, crossing and recrossing the avalanche track, until they reported to me by radio from above the danger zone."
223,"At this stage I decided to abandon the Northwest spur as a route of ascent for the expedition, but as they were now at Camp III, Bates and Dingle elected to attempt the North Summit on the following day, when they reached the virgin 21,500 ft summit at 12.30.",no significant OCR errors detected,"At this stage I decided to abandon the Northwest Spur as a route of ascent for the expedition, but as they were now at Camp III, Bates and Dingle elected to attempt the North Summit on the following day, when they reached the virgin 21,500 ft summit at 12.30."
225,"After a cold and windy night it clouded by early morning, and as Dingle was showing signs of slight frost-bite they descended to spend a further night at Camp III.",possible OCR: omitted word and inconsistent compound formatting,"After a cold and windy night it clouded over by early morning, and as Dingle was showing signs of slight frostbite they descended to spend a further night at Camp III."
226,"Meanwhile Barry and I established a Camp IIla above Rasac Col at 18,800 ft to prepare for the possibility of a traverse by Bates and Dingle, TWO lWKTII'.SVi:i(ri >.",possible OCR: severe corruption and extraneous trailing text,"Meanwhile Barry and I established a Camp IIIa above Rasac Col at 18,800 ft to prepare for the possibility of a traverse by Bates and Dingle."
228,"When I learned by radio that Hates and Dingle were descending from Camp III to Camp II, we also returned to Camp II, arriving only a few minutes after them.",possible OCR: character substitution in personal name,"When I learned by radio that Bates and Dingle were descending from Camp III to Camp II, we also returned to Camp II, arriving only a few minutes after them."
230,"Dingle had suffered superficial trost-bite m both sets of toes, and returned to Base Camp the following day, while Brooks and Gallagher left for Camp Ilia to reconnoitre the route on the South-west ridge.","possible OCR: incorrect word splitting, character substitution, and camp designation formatting","Dingle had suffered superficial frostbite in both sets of toes, and returned to Base Camp the following day, while Brooks and Gallagher left for Camp IIIa to reconnoitre the route on the south-west ridge."
233,"I then returned to join Dingle at Base Camp on 26 June (forty-first day) whilst the others stocked the new Camp Ilia above Rasac Col, and the recce team above made a route to just over 20,000 ft.",possible OCR: incorrect camp designation formatting,"I then returned to join Dingle at Base Camp on 26 June (forty-first day) whilst the others stocked the new Camp IIIa above Rasac Col, and the recce team above made a route to just over 20,000 ft."
234,"On the following day Bates and Gallagher reached the 21,37s ft South Summit returning to Camp Ilia;","possible OCR: corrupted numerical digit, incorrect camp designation formatting, and punctuation error","On the following day Bates and Gallagher reached the 21,375 ft South Summit, returning to Camp IIIa."
235,"and two days later Bates and Gallagher, Barry and Sheppard and R. and J. Brooks established Camp IV on a good site at 21,300 ft, after which the two last parties completed the 7^ ft climb to the South Summit, and then returned to Camp Ilia, leaving Bates and Gallagher to attempt the Main Summit on the morrow.","possible OCR: corrupted numerical value, incorrect camp designation formatting, and missing punctuation in name list","And two days later Bates and Gallagher, Barry and Sheppard, and R. and J. Brooks established Camp IV on a good site at 21,300 ft, after which the two last parties completed the 75 ft climb to the South Summit, and then returned to Camp IIIa, leaving Bates and Gallagher to attempt the Main Summit on the morrow."
240,"and I continued on to Camp Ilia for the evening radio contact at 6, when we excitedly learned from Bates and Gallagher of their successful climb.",possible OCR: incorrect camp designation formatting,"And I continued on to Camp IIIa for the evening radio contact at 6, when we excitedly learned from Bates and Gallagher of their successful climb."
242,"On the following day Barry and Sheppard and R. and J. Brooks climbed to Camp IV, while Bates, Gallagher, Dingle and I occupied Camp Ilia.",possible OCR: incorrect camp designation formatting,"On the following day Barry and Sheppard and R. and J. Brooks climbed to Camp IV, while Bates, Gallagher, Dingle and I occupied Camp IIIa."
243,"Whilst a more protracted summit assault would have avoided overcrowding the single mountain tent at Camp IV, it was also apparent that the weather would not hold for more than a few days, so the occupants of Camp IV gallantly sacrificed a chance of getting some sleep on the eve of their summit climb, and faced the prospect of having to go straight down to Camp Ilia when they returned.",possible OCR: incorrect camp designation formatting,"Whilst a more protracted summit assault would have avoided overcrowding the single mountain tent at Camp IV, it was also apparent that the weather would not hold for more than a few days, so the occupants of Camp IV gallantly sacrificed a chance of getting some sleep on the eve of their summit climb, and faced the prospect of having to go straight down to Camp IIIa when they returned."
245,"North Summit, un-namcd pi-ak (5 X^0 nil, \\rupaia C' hico U-xtrrmr nu'ht), twin pr.iks l [ irishhaiH'a, Rniuloy Uxtivnu-kit liiK'kyrniiiKl), Xinashhanca from Camp II hi to the South Summit and then down to Camp IV, where we were able to street Barry, Sheppard ami R. and J. Brooks on their return from the Main Summit.","possible OCR: severe character corruption in mountain names, numerical values, and expedition terminology","North Summit, unnamed peak (5,800 m), Yerupajá Chico (extreme right), twin peaks of Jirishhanca, Rondoy (extreme left in background), Ninashanca; from Camp IIIa to the South Summit and then down to Camp IV, where we were able to greet Barry, Sheppard and R. and J. Brooks on their return from the Main Summit."
246,"On the following day Dingle and I set out tor the Main Summit, which we reached at 1 iam, appreciating at every step the magnificent effort made by Bates and (iallagher three days before.","possible OCR: character substitution, corrupted time notation, and incorrect spacing","On the following day Dingle and I set out for the Main Summit, which we reached at 11 a.m., appreciating at every step the magnificent effort made by Bates and Gallagher three days before."
247,"Kven though it had started to cloud we decided to descend the virgin North ridge, choosing the sätest path between the delicate cornices on our lett (one ot these vanished quite alarmingly when tested trom a safe position), and wmdslah on our right.",possible OCR: multiple character substitutions and missing word completion,"Even though it had started to cloud over we decided to descend the virgin North Ridge, choosing the safest path between the delicate cornices on our left (one of these vanished quite alarmingly when tested from a safe position), and windslab on our right."
250,"The descent to Camp III was tedious, as no fixed ropes were placed during the first ascent twelve days before, thereafter all fixed ropes were in place but needed a lot of effort to free them from grooves they had formed in the ice.",possible OCR: punctuation degradation affecting sentence structure,"The descent to Camp III was tedious, as no fixed ropes were placed during the first ascent twelve days before; thereafter all fixed ropes were in place but needed a lot of effort to free them from grooves they had formed in the ice."
251,"Dingle, whose descent technique was fast and sure, did all the work on our way down to the old Camp II site, where we arrived S 1 hours later just as it got dark.e had a torch with us, though I knew the route down through the ice-fall to Camp lia, where we were greeted by the Camp IV quartet who had laboured throughout the day striking Camp Ilia and taking down the stores that remained.","possible OCR: severe character corruption, missing sentence boundary, and incorrect camp designation formatting","Dingle, whose descent technique was fast and sure, did all the work on our way down to the old Camp II site, where we arrived 8½ hours later just as it got dark. We had a torch with us, though I knew the route down through the icefall to Camp IIIa, where we were greeted by the Camp IV quartet who had laboured throughout the day striking Camp IIIa and taking down the stores that remained."
255,Siiimillt ut) irupaja.,possible OCR: severe character corruption and missing letters,Summit of Yerupajá.
257,"(init/nu1 I) inük- stiiiuiinu ' cloud for most ot the day, and elsewhere it was overcast.",possible OCR: severe character corruption and fragmentation,"Continued bad weather, including stratus cloud for most of the day, and elsewhere it was overcast."
258,"Meanwhile, Bates and (iallagher had decided to complete the traverse also, and were at Camp IV hoping the weather would hold.",possible OCR: character substitution in personal name,"Meanwhile, Bates and Gallagher had decided to complete the traverse also, and were at Camp IV hoping the weather would hold."
259,"On 4 July, Bates and (iallagher successfully completed the second traverse m nine hours, without the benefit ot a fixed rope on the south side of the Main Summit, w liilst Harry and Brooks set out from Camp lia, climbed to the South Summit, packed Camp IV, and returned attain to Camp lia a fine effort in rapidly deteriorating conditions.","possible OCR: character substitution, incorrect spacing, and camp designation corruption","On 4 July, Bates and Gallagher successfully completed the second traverse in nine hours, without the benefit of a fixed rope on the south side of the Main Summit, whilst Harry and Brooks set out from Camp IIIa, climbed to the South Summit, packed Camp IV, and returned again to Camp IIIa — a fine effort in rapidly deteriorating conditions."
265,"We left our Base Camp at Jahuacocha on 29 July (seventy-fourth day), with twelve donkeys, eight mules and tour arrici'(/.\\ stopping overnight at IJamac, where the expedition had been invited to inaugurate five new water fountains and become patrons of the project.",possible OCR: severe character corruption in quantity and Spanish term/place name,"We left our Base Camp at Jahuacocha on 29 July (seventy-fourth day), with twelve donkeys, eight mules and four arrieros, stopping overnight at Llamac, where the expedition had been invited to inaugurate five new water fountains and become patrons of the project."
270,"No porters were used on the expedition, only one camp guard was employed and the team members carried all stores to the high camps amounting to approximately 1500 lbs to Camp I, 900 lbs to Camp II (of which ^00 lbs was moved to become Camp Ha), about 160 lbs to Camp III, 250 lbs to Camp Ilia, and 60 lbs to Camp IV.",possible OCR: corrupted numerical value and incorrect camp designation formatting,"No porters were used on the expedition, only one camp guard was employed and the team members carried all stores to the high camps amounting to approximately 1500 lbs to Camp I, 900 lbs to Camp II (of which 400 lbs was moved to become Camp IIIa), about 160 lbs to Camp III, 250 lbs to Camp IIIa, and 60 lbs to Camp IV."
299,"Dishevelled and disorganised, we contrasted sadly to this model expedition, with its tallies, chairs, and typewriters.",possible OCR: incorrect preposition substitution,"Dishevelled and disorganised, we contrasted sadly with this model expedition, with its tallies, chairs, and typewriters."
306,"We kept telling each other that, of course, though ice climbs always look vertical head on, they simply ca n't be ... simply ca n't be?",possible OCR: incorrect spacing in contraction,"We kept telling each other that, of course, though ice climbs always look vertical head on, they simply can’t be ... simply can’t be?"
313,but we must hope it will come.,no significant OCR errors detected,but we must hope it will come.
314,Kmploying expedition tactics on what is essentially an Alpine-route is as absurd as nailing Cenotaph Corner:,possible OCR: character substitution and incorrect hyphenation/capitalization,Employing expedition tactics on what is essentially an Alpine route is as absurd as nailing Cenotaph Corner:
318,"This issue is becoming acute, as m the 70s some of the greatest remaining possibilities will be attempted.",possible OCR: character substitution,"This issue is becoming acute, as in the 70s some of the greatest remaining possibilities will be attempted."
319,"The incredible faces in Patagonia, Alaska and the Karakoram, possibly represent the last new dimension in mountaineering.ill we confront these in the spirit of C' assin on the Grandes Jorasses, Joe Brown on his climbs, and C' houinard and Herbert on the Muir Wall?","possible OCR: missing sentence boundary, character substitutions, and corrupted apostrophes","The incredible faces in Patagonia, Alaska and the Karakoram possibly represent the last new dimension in mountaineering. Will we confront these in the spirit of Cassin on the Grandes Jorasses, Joe Brown on his climbs, and Chouinard and Herbert on the Muir Wall?"
351,"Till- AMAZON 1-ACKlo, ice-bridges had disappeared; it was becoming absurd.",possible OCR: severe character corruption in route name and punctuation,"Till the Amazon Face, ice bridges had disappeared; it was becoming absurd."
352,Oti at last we grinned at each other and the (Jods  it had been a bad day.,possible OCR: severe character corruption and corrupted dash character,Oh at last we grinned at each other and the Gods — it had been a bad day.
379,"We hoped the séracs would be our home, but as time passed the dismal possibility","possible OCR: no significant OCR errors detected, but sentence appears truncated","We hoped the séracs would be our home, but as time passed the dismal possibility..."
409,we will wait for them.,no significant OCR errors detected,we will wait for them.
415,"Again it is night, again we are rappelling.",no significant OCR errors detected,"Again it is night, again we are rappelling."
416,"Sr. MMARV  Peru, Cordillera Huayhuash.",possible OCR: severe character corruption in personal name and corrupted dash character,"Sr. Murray — Peru, Cordillera Huayhuash."
418,"David Adcock (leader), Peter Harry, Roger Bates (deputy leader), Graeme Dingle, Lloyd Gallagher, Allan Sheppard (all Wellington Section, X.Z.A.C);",possible OCR: character substitution in abbreviation,"David Adcock (leader), Peter Harry, Roger Bates (deputy leader), Graeme Dingle, Lloyd Gallagher, Allan Sheppard (all Wellington Section, N.Z.A.C.);"
419,"Entities: [Wellington|MOUNTAIN], [Roger Bates|PERSON], [Graeme Dingle|PERSON], [David Adcock|PERSON], [Adcock|PERSON]",possible OCR: no significant OCR errors detected in the names themselves,Wellington; Roger Bates; Graeme Dingle; David Adcock; Adcock
423,"13 Ahn amiJiiifi tin hoiischritiitl, in timid Yerupaja Grande 30 June 21,765 Vt 2 July I p ami down South-west riiljje:","possible OCR: severe character corruption, fragmented caption structure, and numerical/word substitution","13. Allan Sheppard in the foreground, behind Yerupajá Grande. 30 June — 21,765 ft. 2 July — 1 p.m., down south-west ridge."
430,"Hates, 21,500 ftDintrle \ and 4 July Traverse parties Yerupaja Sur27 and ^o June Bates, (ïalla^her July 2 4 JulyTraverse parties 4, , Barry, R. Brooks Other climbs: see p 225.","possible OCR: severe character corruption, fragmented caption text, and broken date/name formatting","Bates, 21,500 ft. Dingle and 4 July traverse parties. Yerupajá Sur — 27 and 30 June: Bates, Gallagher. July 2–4 traverse parties: Barry, R. Brooks. Other climbs: see p. 225."
434,"Dean C' aldwell, Paul Dix, Rotier Hart, Chris Jonc« Yerupaja (iraiiue ^7 31 JulyNorth-east lace, first ascent ami descent:","possible OCR: severe character corruption in personal names, place names, and route description","Dean Caldwell, Paul Dix, Roger Hart, Chris Jones. Yerupajá Grande — 31 July. North-east face, first ascent and descent:"
438,"Fred Hoy le ' I,ike all the members ot your Chili I have a particular affection for days spent in wild places.","possible OCR: corrupted punctuation, apostrophe spacing, and character substitution",Fred Hoyle: ‘Like all the members of your club I have a particular affection for days spent in wild places.’
440,"Man is an essentially nomadic animal.e like to he on the move, always looking over the brow of the next hill.",possible OCR: missing sentence boundary and character substitution,"Man is an essentially nomadic animal. We like to be on the move, always looking over the brow of the next hill."
448,"Just as strength of body will not automatically make a threat mountaineer, so intelligence alone will not make a great scientist, for example.",possible OCR: character substitution in adjective,"Just as strength of body will not automatically make a great mountaineer, so intelligence alone will not make a great scientist, for example."
458,Hut should yon succeed in doing so your purpose will completely disappear.,possible OCR: character substitution in sentence-initial word,But should you succeed in doing so your purpose will completely disappear.
475,Nor do I believe the future will belong to nations with vast armaments ,possible OCR: corrupted dash character and possible truncation,Nor do I believe the future will belong to nations with vast armaments —
477,"The future, I believe, will belong to the nation, or nations, that manages to preserve stability in the face of steadily increasing mental pressure.",possible OCR: grammatical number disagreement,"The future, I believe, will belong to the nation, or nations, that manage to preserve stability in the face of steadily increasing mental pressure."
478,And mental stability will depend on some form of communal ' inner fires '.,possible OCR: inconsistent spacing around quotation marks,And mental stability will depend on some form of communal ‘inner fires’.
480,He is setting an example of exactly what is needed to maintain the stability of mind of which I have just been speaking.,no significant OCR errors detected,He is setting an example of exactly what is needed to maintain the stability of mind of which I have just been speaking.
491,w Ir re the Academy ot Sciences anil the l' eter the (ireat ranges interseet.,possible OCR: severe character corruption and letter substitution,where the Academy of Sciences and the Peter the Great ranges intersect.
492,"has alwavs attracted the attention ot mountaineers, luit lor a lone time its remoteness, its diliiculty of access, ami the tact that it was unexplored did not allow an attempt to clmili it to lie launched.",possible OCR: multiple character substitutions and spacing corruption,"has always attracted the attention of mountaineers, but for a long time its remoteness, its difficulty of access, and the fact that it was unexplored did not allow an attempt to climb it to be launched."
494,the outstanding Soviet mountaineere\ >,possible OCR: severe character corruption and truncation,the outstanding Soviet mountaineers
495,"jeniy Abalakov readmit, ' the summit on; September (.",possible OCR: severe character corruption in personal name and trailing date fragment,Yevgeny Abalakov reached the summit on 3 September.
498,"Thirty-live years have i;one by since the first ascent, durintliicli time many mountaineers have climbed the mountain, especially at the end ot the 50s.",possible OCR: severe character corruption and letter substitution,"Thirty-five years have gone by since the first ascent, during which time many mountaineers have climbed the mountain, especially at the end of the 50s."
500,"Now there are ciijlit dittercnt routes on the mountain, uraded î or o, the blithest urades ot diilicultv.",possible OCR: severe character corruption and numerical/letter substitution,"Now there are eight different routes on the mountain, graded 5 or 6, the highest grades of difficulty."
502,T ASCI-'NT (11- Till:,possible OCR: severe character corruption and truncated heading,The Ascent of the:
504,"I'l-'AK COMMCMSM, 90 X In 1962 Peak Communism was climbed lu tour liritish mountaineers, who were members of Lord Hunt 's joint Hritish-Sovict expedition, namely Malcolm Slesser, Joe Hrown, Ian McNaught-I)a\ is, and (iraeine Nico), the expedition 's doctor (.","possible OCR: severe character corruption in title, numerals, names, and apostrophe spacing","Peak Communism, 90. In 1962 Peak Communism was climbed by four British mountaineers, who were members of Lord Hunt’s joint British-Soviet expedition, namely Malcolm Slesser, Joe Brown, Ian McNaught-Davis, and Graeme Nicol, the expedition’s doctor."
508,The expedition also made the first ascent ot an unnamed peak (.,possible OCR: incorrect spacing and truncation,The expedition also made the first ascent of an unnamed peak.
522,"A party of climbers from the Hurevestnik society however climbed Peak Lenin (71 34 in), and found that Peak Communism could be climbed from the north, from the Fortambek and \ alter glacier side.","possible OCR: severe character corruption in organization name, elevation formatting, and glacier name","A party of climbers from the Burevestnik society however climbed Peak Lenin (7134 m), and found that Peak Communism could be climbed from the north, from the Fortambek and Walter Glacier side."
527,"entrusted the task of organising and carrying out the expedition to the Hurevestnik sports society, as they were considered to be better prepared tor this route than parties from MUST ASCFNTTill;",possible OCR: character substitution and severe truncation,"entrusted the task of organising and carrying out the expedition to the Burevestnik sports society, as they were considered to be better prepared for this route than parties from..."
528,"S l ' III FAIÏ- OF PI AK COMMl'NISM, I 968 27 other societies.",possible OCR: severe character corruption in heading/title text,"South Face of Peak Communism, 1968 — 27 other societies."
532,"The first party of climbers went from Djirgital to the tongue of the (Jarmo glacier on 13 July, where the Iiase Camp of the liritish-Soviet expedition had been in 1962.",possible OCR: character substitution and incorrect capitalization,"The first party of climbers went from Djirgital to the tongue of the Garmo Glacier on 13 July, where the Base Camp of the British-Soviet expedition had been in 1962."
