line_num,text,issue,corrected_text
186,The avalanches will stop once the snowpack has had time to stabilise and adjust to the warming.',no significant OCR errors detected,The avalanches will stop once the snowpack has had time to stabilise and adjust to the warming.
191,I marvelled at his skill placing knife blades.,no significant OCR errors detected,I marvelled at his skill placing knife blades.
198,Steep and jagged peaks stretched all the way to the horizon holding countless possibilities for more adventures to come.,no significant OCR errors detected,Steep and jagged peaks stretched all the way to the horizon holding countless possibilities for more adventures to come.
204,The avalanches will stop once the snowpack has had time to stabilise and adjust to the warming.,no significant OCR errors detected,The avalanches will stop once the snowpack has had time to stabilise and adjust to the warming.
213,"Don and Phyllis Munday’s pioneering route up Waddington climbed the lower 3.5km of the west ridge to 3,300m and then followed the natural line of weakness up the Angel glacier to the north-west summit.",possible OCR: inconsistent capitalization in geographical names and missing spacing in numerical measurements,"Don and Phyllis Munday’s pioneering route up Waddington climbed the lower 3.5 km of the west ridge to 3,300 m and then followed the natural line of weakness up the Angel Glacier to the north-west summit."
215,"Unfortunately the Mundays did not have the firepower to continue to the main summit, which had to wait until 1936 when Bill House and Fritz Wiessner summited via the south-west face.",no significant OCR errors detected,"Unfortunately the Mundays did not have the firepower to continue to the main summit, which had to wait until 1936 when Bill House and Fritz Wiessner summited via the south-west face."
219,"Two weeks after our ascent of Mount Phillips, the rain stopped, the clouds cleared and the weather was finally good enough for Waddington.",no significant OCR errors detected,"Two weeks after our ascent of Mount Phillips, the rain stopped, the clouds cleared and the weather was finally good enough for Waddington."
228,Next day we traversed over the two Men-At-Arms summits and followed a spectacular corniced ridge over Bodyguard and Councillor peaks.,possible OCR: inconsistent capitalization and hyphenation in geographical names,Next day we traversed over the two Men-at-Arms summits and followed a spectacular corniced ridge over Bodyguard and Councillor peaks.
243,Day four was another beautiful day but we were nearly turned back on the Summit Tower due to falling rime ice.,possible OCR: no significant OCR errors detected,Day four was another beautiful day but we were nearly turned back on the Summit Tower due to falling rime ice.
263,"First ascent of North Spur, Mount Phillips (3246m), Canadian Rockies.",possible OCR: missing spacing in numerical measurement formatting,"First ascent of North Spur, Mount Phillips (3246 m), Canadian Rockies."
266,"(Ian Welsted and Simon Richardson, 3 to 7 August 2019)",no significant OCR errors detected,"(Ian Welsted and Simon Richardson, 3 to 7 August 2019)"
271,"Ally and I sat in an empty hotel restaurant, the morning silence lingering peacefully under the high-vaulted ceiling.",no significant OCR errors detected,"Ally and I sat in an empty hotel restaurant, the morning silence lingering peacefully under the high-vaulted ceiling."
272,I looked around: empty tables and half-tucked chairs filled the room.,no significant OCR errors detected,I looked around: empty tables and half-tucked chairs filled the room.
278,I could still smell it on my clothes.,no significant OCR errors detected,I could still smell it on my clothes.
288,Will Sim had ‘re-discovered’ the Hindu Raj region.,no significant OCR errors detected,Will Sim had ‘re-discovered’ the Hindu Raj region.
289,"Years of political instability and tension had closed this mountainous, and remote area to foreigners.",possible OCR: punctuation insertion causing grammatical disruption,Years of political instability and tension had closed this mountainous and remote area to foreigners.
292,"But Will’s curiosity and research secured a permit for autumn 2019, and he invited John Crook, Uisdean Hawthorn, Ally Swinton, and me to join.",no significant OCR errors detected,"But Will’s curiosity and research secured a permit for autumn 2019, and he invited John Crook, Uisdean Hawthorn, Ally Swinton, and me to join."
304,"As we journeyed further into the mountains, villages shrank in size and frequency to isolated hamlets.",no significant OCR errors detected,"As we journeyed further into the mountains, villages shrank in size and frequency to isolated hamlets."
333,"Unfortunately, Will and Uisdean were il and stayed at base camp.",possible OCR: missing character in adjective,"Unfortunately, Will and Uisdean were ill and stayed at base camp."
334,"It was almost inevitable that some of our team would get sick, but we still felt for them; it was unfortunate to miss out on crucial acclimatisation.",no significant OCR errors detected,"It was almost inevitable that some of our team would get sick, but we still felt for them; it was unfortunate to miss out on crucial acclimatisation."
344,Will and Ally passed a book back and forth.,no significant OCR errors detected,Will and Ally passed a book back and forth.
354,"During acclimatisation, you’re still learning the mountain’s moods: you watch how clouds boil around the peak; you see where snow sticks to the face; and you stare as sunshine and shadow reveal new features.",no significant OCR errors detected,"During acclimatisation, you’re still learning the mountain’s moods: you watch how clouds boil around the peak; you see where snow sticks to the face; and you stare as sunshine and shadow reveal new features."
362,"Ally and I were motivated for the right-hand line but the climbing looked tricky: there was a possibility it was simply too hard, or we would be unlucky.",no significant OCR errors detected,"Ally and I were motivated for the right-hand line but the climbing looked tricky: there was a possibility it was simply too hard, or we would be unlucky."
365,"Will, John and Uisdean chose the left-hand, north-east ridge: it looked fantastic, it would hopefully be easier and it would offer them more time to acclimatise.",no significant OCR errors detected,"Will, John and Uisdean chose the left-hand, north-east ridge: it looked fantastic, it would hopefully be easier and it would offer them more time to acclimatise."
366,I shared Will’s views about wanting to climb something.,no significant OCR errors detected,I shared Will’s views about wanting to climb something.
381,"Although the sun had spilled onto the face, I still grit- ted my teeth as blood returned to my toes.",possible OCR: incorrect word splitting across a line break,"Although the sun had spilled onto the face, I still gritted my teeth as blood returned to my toes."
384,"On the second day, Ally led several brilliant mixed pitches up a chim- ney-gully system.",possible OCR: incorrect word splitting across a line break,"On the second day, Ally led several brilliant mixed pitches up a chimney-gully system."
385,"Piece by piece, pitch by pitch, we answered more of our questions, filling in the blanks we’d noted when scanning the face.",no significant OCR errors detected,"Piece by piece, pitch by pitch, we answered more of our questions, filling in the blanks we’d noted when scanning the face."
410,"It felt like climbing at Gogarth’s Main Cliff, a place I'm very fond of, and Ibegan to relish our wild yet somehow familiar position.",possible OCR: missing spacing between words,"It felt like climbing at Gogarth’s Main Cliff, a place I’m very fond of, and I began to relish our wild yet somehow familiar position."
424,"We enjoyed the easier ground but were still a long way from the true summit, which was further back from the peak we’d seen from base camp.",no significant OCR errors detected,"We enjoyed the easier ground but were still a long way from the true summit, which was further back from the peak we’d seen from base camp."
428,"It was as if the sky was tearing itself apart, huge white explosions illuminating thunder- heads and boiling clouds.",possible OCR: incorrect word splitting across a line break,"It was as if the sky was tearing itself apart, huge white explosions illuminating thunderheads and boiling clouds."
431,"Hoping to see the tracks of Will, Uisdean and John, we pushed on, but figured they must have turned back when we found none.",no significant OCR errors detected,"Hoping to see the tracks of Will, Uisdean and John, we pushed on, but figured they must have turned back when we found none."
442,"I held my breath in nervous expectation of suddenly falling into a slot; these crevasses looked like monstrous, soulless depths.",possible OCR: no significant OCR errors detected,"I held my breath in nervous expectation of suddenly falling into a slot; these crevasses looked like monstrous, soulless depths."
