line_num,text,issue,corrected_text
919,Insulin med- ication in many parts of south-east Asia is often beyond the reach of most households and without it a newly diagnosed type-1 child will die slowly and painfully within six months.,possible OCR: severe word segmentation and hyphenation errors,"Insulin medication in many parts of south-east Asia is often beyond the reach of most households, and without it a newly diagnosed type 1 child will die slowly and painfully within six months."
923,"His blood sugars were over 400mg/dL, or milligrams per decilitre: a death sentence given that the average for a non-diabetic person is just 100mg/dL.","possible OCR: minor spacing, punctuation, and unit formatting normalization","His blood sugars were over 400 mg/dL, or milligrams per decilitre: a death sentence, given that the average for a non-diabetic person is just 100 mg/dL."
925,By day four his sugars had dropped significantly and starting to stabilise.,possible OCR: minor verb agreement and tense correction,By day four his sugars had dropped significantly and were starting to stabilise.
940,He knew we had the tech- nical skills to tackle anything on the face.,possible OCR: minor word segmentation error,He knew we had the technical skills to tackle anything on the face.
949,This was still a little low but it was rising fast and I knew that my carb-rich breakfast would counter the effect of the intensive exercise coming up.,possible OCR: minor punctuation and clause separation normalization,"This was still a little low, but it was rising fast, and I knew that my carb-rich breakfast would counter the effect of the intensive exercise coming up."
951,The black sky was a million tiny shards of light and I gulped it in as we raced across the base of the beast.,possible OCR: minor punctuation omission,"The black sky was a million tiny shards of light, and I gulped it in as we raced across the base of the beast."
955,Soon we were pulling ourselves across the legendary Hinterstoisser Traverse and I saw the sun for the first time: a smoky yellow ball hanging low on the horizon.,possible OCR: minor punctuation normalization,"Soon we were pulling ourselves across the legendary Hinterstoisser Traverse, and I saw the sun for the first time: a smoky yellow ball hanging low on the horizon."
960,"Unluckily for us its magic veneer of ice had gone and we were forced to take turns dry tooling technical sections of blank rock, pulling hard on ice axes hooked on millimetres of crumbly limestone.",possible OCR: minor punctuation and possessive structure normalization,"Unluckily for us, its magic veneer of ice had gone and we were forced to take turns dry tooling technical sections of blank rock, pulling hard on ice axes hooked on millimetres of crumbly limestone."
999,We were now in the sun and it was still only early afternoon.,possible OCR: minor punctuation omission,"We were now in the sun, and it was still only early afternoon."
1022,"Calum had gone, racing off down the hill, eager to be reunited with his car so he could get back to Chamonix in time for the last cable car.",no significant OCR errors detected,"Calum had gone, racing off down the hill, eager to be reunited with his car so he could get back to Chamonix in time for the last cable car."
1027,"The north face of the Alguille des Pelerins (3318m) in winter, seamed with ice runnels.","possible OCR: severe proper noun, diacritic, and spelling correction","The north face of the Aiguille des Pèlerins (3,318 m) in winter, seamed with ice runnels."
1029,"The temperature was falling, and the gusty frigid winds penetrated right through to the bone.",possible OCR: minor punctuation insertion,"The temperature was falling, and the gusty, frigid winds penetrated right through to the bone."
1031,"Al Powell, that gnarly and incredibly understated British alpinist of the 1990s and 2000s, was dragging me up a winter ascent of the Rebuffat-Terray on the north face of the Aiguille des Pelerins.",possible OCR: minor diacritic normalization,"Al Powell, that gnarly and incredibly understated British alpinist of the 1990s and 2000s, was dragging me up a winter ascent of the Rebuffat-Terray on the north face of the Aiguille des Pèlerins."
1045,But I don't despair; the optimist will always win I tell myself.,possible OCR: minor punctuation and contraction normalization,"But I don’t despair; the optimist will always win, I tell myself."
1051,"My regular climbing partner Matt Helliker never needs persuading and we included in the party the Derbyshire lad Pete Whittaker, world-renowned master of crack climbing.",possible OCR: minor punctuation and clause separation correction,"My regular climbing partner Matt Helliker never needs persuading, and we included in the party the Derbyshire lad Pete Whittaker, world-renowned master of crack climbing."
1054,"Circumstances beyond our control meant we were short on time and instead of an appropriately early start from a bivouac at the Plan de l'Aiguille, we headed up on the first cable car: not ideal given the day's objective.",possible OCR: minor punctuation and possessive normalization,"Circumstances beyond our control meant we were short on time and, instead of an appropriately early start from a bivouac at the Plan de l’Aiguille, we headed up on the first cable car: not ideal given the day’s objective."
1071,"First ascent of Beyond Reason (ED V, 5+/F5c, M6+, R, 550m) north face of Pointe des Pelerins, or Pointe Migot, 7 February 2020, Jon Bracey, Matt Helliker and Pete Whittaker.","possible OCR: minor formatting, diacritic, and list punctuation normalization","First ascent of Beyond Reason (ED V, 5+/F5c, M6+, R, 550 m), north face of Pointe des Pèlerins (or Pointe Migot), 7 February 2020, Jon Bracey, Matt Helliker, and Pete Whittaker."
1074,"Skiing the Col de Valpelline with the Matterhorn as a backdrop in 2016, the second portion of David Hamilton's ski traverse of the Alps.",possible OCR: minor possessive punctuation normalization,"Skiing the Col de Valpelline with the Matterhorn as a backdrop in 2016, the second portion of David Hamilton’s ski traverse of the Alps."
1090,All of this was essential in developing the necessary skills and preparing me for this project.,no significant OCR errors detected,All of this was essential in developing the necessary skills and preparing me for this project.
1103,Accommodation is mostly in CAF refuges and small village hotels.,no significant OCR errors detected,Accommodation is mostly in CAF refuges and small village hotels.
1105,"Depending on the opening dates of the CAF refuges there may be as few as five nights in winter rooms (Merveillies, Nice, Vens, Rabuons, Mario Bezzi) although this could rise to seven if Dent Parachee and Col de la Vanoise are not yet open.","possible OCR: minor punctuation, diacritic, and toponym normalization","Depending on the opening dates of the CAF refuges, there may be as few as five nights in winter rooms (Merveille, Nice, Vens, Rabuons, Mario Bezzi), although this could rise to seven if Dent Parrachée and Col de la Vanoise are not yet open."
1121,"Late in the day we navigated the gaping crevasses of the Adler glacier in the failing light, and spent several hours in total darkness searching for the closed hut.",possible OCR: minor capitalization normalization,"Late in the day we navigated the gaping crevasses of the Adler Glacier in the failing light, and spent several hours in total darkness searching for the closed hut."
1125,"The weather improved for the five-day section on to Splugen, and we enjoyed good snow conditions and the excellent facilities of three SAC huts.","possible OCR: minor diacritic, punctuation, and preposition normalization","The weather improved for the five-day section on to Splügen, and we enjoyed good snow conditions and the excellent facilities of three SAC huts."
1128,The new route required long days linking villages and small ski resorts where the accommodation was comfortable if expensive.,possible OCR: minor punctuation adjustment and clause clarity,"The new route required long days linking villages and small ski resorts where the accommodation was comfortable, if expensive."
1134,The nine unstaffed huts were mostly excellent with cooking facilities and heating.,possible OCR: minor punctuation and compression of phrasing,"The nine unstaffed huts were mostly excellent, with cooking facilities and heating."
1136,"The 2016 leg of 25 stages covered 518Icm with 30,621m of ascent in 31 days.",possible OCR: severe numeric and unit recognition errors,"The 2016 leg of 25 stages covered 518 km with 30,621 m of ascent in 31 days."
1143,"Ahead of us the Otztal, Stubai, Zillertal, Hohe Tauern and Niedere Tauern ranges promised classic ski-touring terrain.",possible OCR: minor diacritic restoration and punctuation normalization,"Ahead of us the Ötztal, Stubai, Zillertal, Hohe Tauern, and Niedere Tauern ranges promised classic ski-touring terrain."
1147,"Half a dozen times we found ourselves in seriously unpleasant situations due to avalanche and snow stability issues, or steep technical terrain.",possible OCR: minor punctuation normalization,Half a dozen times we found ourselves in seriously unpleasant situations due to avalanche and snow stability issues or steep technical terrain.
1161,We waited out a three-day period of poor weather at Matreier before managing  five consecutive eight-hour days passing  north of the Grossglockner and Heiligenblut to Bockstein.,possible OCR: minor punctuation omission and clause separation error,"We waited out a three-day period of poor weather at Matreier before managing five consecutive eight-hour days, passing north of the Grossglockner and Heiligenblut to Bockstein."
1166,After the unpleasant climb to the Harmoverhaus we resorted to very early starts in an attempt to avoid the afternoon wet snow slides pouring from the hillsides.,"possible OCR: minor proper noun, capitalization, and punctuation normalization","After the unpleasant climb to the Hannoverhaus, we resorted to very early starts in an attempt to avoid the afternoon wet snow slides pouring from the hillsides."
1177,"This was a six-day journey with overnight stops in Donnersbachwald, Gulling, Rottenman, Johnsbach, and Radmer.",possible OCR: minor proper noun correction,"This was a six-day journey with overnight stops in Donnersbachwald, Gulling, Rottenmann, Johnsbach, and Radmer."
1184,The third section left the high mountains behind and traversed the undulating hills of the 'Vienna woods' gradually losing height until reaching the city limits.,"possible OCR: minor quotation, capitalization, and punctuation normalization","The third section left the high mountains behind and traversed the undulating hills of the “Vienna Woods”, gradually losing height until reaching the city limits."
1199,"It may seem boring to spend hundreds of hours studying maps and programming routes into a GPS, but on a long tour through unfamiliar terrain this is essential to avoid navigational errors with potentially serious consequences.",no significant OCR errors detected,"It may seem boring to spend hundreds of hours studying maps and programming routes into a GPS, but on a long tour through unfamiliar terrain this is essential to avoid navigational errors with potentially serious consequences."
1205,"When the weather is good it is essential to make forward progress, and we never took a rest day unless this was forced by weather conditions, illness, injury or exhaustion.",possible OCR: minor punctuation and list formatting normalization,"When the weather is good, it is essential to make forward progress, and we never took a rest day unless this was forced by weather conditions, illness, injury, or exhaustion."
1222,ROB COLLISTER,no significant OCR errors detected,ROB COLLISTER
1226,"Cwm Hetiau, owm of the hats, by the Anglesey painter and printmaker Kyffin Williams (1918-2006).","possible OCR: minor translation, punctuation, and typographic normalization","Cwm Hetiau, or “Cwm of the Hats,” by the Anglesey painter and printmaker Kyffin Williams (1918–2006)."
1230,"Too vague to be called a plan, my intention was simply to renew acquaintance with some of the arctic-alpine plants which still linger on in high, cold places inaccessible to sheep, leftovers from the last ice age.",possible OCR: minor hyphenation and stylistic normalization,"Too vague to be called a plan, my intention was simply to renew acquaintance with some of the arctic-alpine plants which still linger on in high, cold places inaccessible to sheep, leftovers from the last ice age."
1250,"That was familiar territory, however, so I chose to head down and to my left investigating another band  of  dark rock.  ",possible OCR: minor spacing and punctuation normalization,"That was familiar territory, however, so I chose to head down and to my left, investigating another band of dark rock."
1251,In terms of interesting plants it proved disappointing but I found I could link grass ledges across an increasingly steep hillside until I suddenly found myself back on the Cwm Glas spur.,possible OCR: minor punctuation omission and clause separation,"In terms of interesting plants it proved disappointing, but I found I could link grass ledges across an increasingly steep hillside until I suddenly found myself back on the Cwm Glas Spur."
1257,"In days gone by many a top hat went sailing out into the cwm below, caught by a sudden gust; nowadays it is more likely to be a baseball cap.",no significant OCR errors detected,"In days gone by many a top hat went sailing out into the cwm below, caught by a sudden gust; nowadays it is more likely to be a baseball cap."
1259,"On 6 April, Easter Monday, after two years under construction, the Snowdon Railway officially opened with two locomotives, each pulling two carriages filled with excited passengers, making their way to the summit of the mountain.",possible OCR: minor punctuation and clause structuring,"On 6 April, Easter Monday, after two years under construction, the Snowdon Railway officially opened, with two locomotives each pulling two carriages filled with excited passengers making their way to the summit of the mountain."
1261,It later transpired that subsidence under the track in the cutting just below the top had caused the engine to jump the rack-and-pinion braking system so that it began to career downhill out of control.,possible OCR: minor punctuation omission,"It later transpired that subsidence under the track in the cutting just below the top had caused the engine to jump the rack-and-pinion braking system, so that it began to career downhill out of control."
1265,"The guard had sensibly ordered the terrified passengers to remain seated and the only casualty was the unfortunate man who chose to jump out, struck his head on a rock and was killed.",possible OCR: minor punctuation omission and clause separation error,"The guard had sensibly ordered the terrified passengers to remain seated, and the only casualty was the unfortunate man who chose to jump out, struck his head on a rock, and was killed."
