line_num,text,issue,corrected_text
186,The avalanches will stop once the snowpack has had time to stabilise and adjust to the warming.',no significant OCR errors detected,The avalanches will stop once the snowpack has had time to stabilise and adjust to the warming.
191,I marvelled at his skill placing knife blades.,no significant OCR errors detected,I marvelled at his skill placing knife blades.
198,Steep and jagged peaks stretched all the way to the horizon holding countless possibilities for more adventures to come.,no significant OCR errors detected,Steep and jagged peaks stretched all the way to the horizon holding countless possibilities for more adventures to come.
204,The avalanches will stop once the snowpack has had time to stabilise and adjust to the warming.,no significant OCR errors detected,The avalanches will stop once the snowpack has had time to stabilise and adjust to the warming.
213,"Don and Phyllis Munday’s pioneering route up Waddington climbed the lower 3.5km of the west ridge to 3,300m and then followed the natural line of weakness up the Angel glacier to the north-west summit.",possible OCR: inconsistent capitalization in geographical names and missing spacing in numerical measurements,"Don and Phyllis Munday’s pioneering route up Waddington climbed the lower 3.5 km of the west ridge to 3,300 m and then followed the natural line of weakness up the Angel Glacier to the north-west summit."
215,"Unfortunately the Mundays did not have the firepower to continue to the main summit, which had to wait until 1936 when Bill House and Fritz Wiessner summited via the south-west face.",no significant OCR errors detected,"Unfortunately the Mundays did not have the firepower to continue to the main summit, which had to wait until 1936 when Bill House and Fritz Wiessner summited via the south-west face."
219,"Two weeks after our ascent of Mount Phillips, the rain stopped, the clouds cleared and the weather was finally good enough for Waddington.",no significant OCR errors detected,"Two weeks after our ascent of Mount Phillips, the rain stopped, the clouds cleared and the weather was finally good enough for Waddington."
228,Next day we traversed over the two Men-At-Arms summits and followed a spectacular corniced ridge over Bodyguard and Councillor peaks.,possible OCR: inconsistent capitalization and hyphenation in geographical names,Next day we traversed over the two Men-at-Arms summits and followed a spectacular corniced ridge over Bodyguard and Councillor peaks.
243,Day four was another beautiful day but we were nearly turned back on the Summit Tower due to falling rime ice.,no significant OCR errors detected,Day four was another beautiful day but we were nearly turned back on the Summit Tower due to falling rime ice.
263,"First ascent of North Spur, Mount Phillips (3246m), Canadian Rockies.",possible OCR: missing spacing in numerical measurement formatting,"First ascent of North Spur, Mount Phillips (3246 m), Canadian Rockies."
266,"(Ian Welsted and Simon Richardson, 3 to 7 August 2019)",no significant OCR errors detected,"(Ian Welsted and Simon Richardson, 3 to 7 August 2019)"
271,"Ally and I sat in an empty hotel restaurant, the morning silence lingering peacefully under the high-vaulted ceiling.",no significant OCR errors detected,"Ally and I sat in an empty hotel restaurant, the morning silence lingering peacefully under the high-vaulted ceiling."
272,I looked around: empty tables and half-tucked chairs filled the room.,no significant OCR errors detected,I looked around: empty tables and half-tucked chairs filled the room.
278,I could still smell it on my clothes.,no significant OCR errors detected,I could still smell it on my clothes.
288,Will Sim had ‘re-discovered’ the Hindu Raj region.,no significant OCR errors detected,Will Sim had ‘re-discovered’ the Hindu Raj region.
289,"Years of political instability and tension had closed this mountainous, and remote area to foreigners.",possible OCR: punctuation insertion causing grammatical disruption,Years of political instability and tension had closed this mountainous and remote area to foreigners.
292,"But Will’s curiosity and research secured a permit for autumn 2019, and he invited John Crook, Uisdean Hawthorn, Ally Swinton, and me to join.",no significant OCR errors detected,"But Will’s curiosity and research secured a permit for autumn 2019, and he invited John Crook, Uisdean Hawthorn, Ally Swinton, and me to join."
304,"As we journeyed further into the mountains, villages shrank in size and frequency to isolated hamlets.",no significant OCR errors detected,"As we journeyed further into the mountains, villages shrank in size and frequency to isolated hamlets."
333,"Unfortunately, Will and Uisdean were il and stayed at base camp.",possible OCR: missing character in adjective,"Unfortunately, Will and Uisdean were ill and stayed at base camp."
334,"It was almost inevitable that some of our team would get sick, but we still felt for them; it was unfortunate to miss out on crucial acclimatisation.",no significant OCR errors detected,"It was almost inevitable that some of our team would get sick, but we still felt for them; it was unfortunate to miss out on crucial acclimatisation."
344,Will and Ally passed a book back and forth.,no significant OCR errors detected,Will and Ally passed a book back and forth.
354,"During acclimatisation, you’re still learning the mountain’s moods: you watch how clouds boil around the peak; you see where snow sticks to the face; and you stare as sunshine and shadow reveal new features.",no significant OCR errors detected,"During acclimatisation, you’re still learning the mountain’s moods: you watch how clouds boil around the peak; you see where snow sticks to the face; and you stare as sunshine and shadow reveal new features."
362,"Ally and I were motivated for the right-hand line but the climbing looked tricky: there was a possibility it was simply too hard, or we would be unlucky.",no significant OCR errors detected,"Ally and I were motivated for the right-hand line but the climbing looked tricky: there was a possibility it was simply too hard, or we would be unlucky."
365,"Will, John and Uisdean chose the left-hand, north-east ridge: it looked fantastic, it would hopefully be easier and it would offer them more time to acclimatise.",no significant OCR errors detected,"Will, John and Uisdean chose the left-hand, north-east ridge: it looked fantastic, it would hopefully be easier and it would offer them more time to acclimatise."
366,I shared Will’s views about wanting to climb something.,no significant OCR errors detected,I shared Will’s views about wanting to climb something.
381,"Although the sun had spilled onto the face, I still grit- ted my teeth as blood returned to my toes.",possible OCR: incorrect word splitting across a line break,"Although the sun had spilled onto the face, I still gritted my teeth as blood returned to my toes."
384,"On the second day, Ally led several brilliant mixed pitches up a chim- ney-gully system.",possible OCR: incorrect word splitting across a line break,"On the second day, Ally led several brilliant mixed pitches up a chimney-gully system."
385,"Piece by piece, pitch by pitch, we answered more of our questions, filling in the blanks we’d noted when scanning the face.",no significant OCR errors detected,"Piece by piece, pitch by pitch, we answered more of our questions, filling in the blanks we’d noted when scanning the face."
410,"It felt like climbing at Gogarth’s Main Cliff, a place I'm very fond of, and Ibegan to relish our wild yet somehow familiar position.",possible OCR: missing spacing between words,"It felt like climbing at Gogarth’s Main Cliff, a place I’m very fond of, and I began to relish our wild yet somehow familiar position."
424,"We enjoyed the easier ground but were still a long way from the true summit, which was further back from the peak we’d seen from base camp.",no significant OCR errors detected,"We enjoyed the easier ground but were still a long way from the true summit, which was further back from the peak we’d seen from base camp."
428,"It was as if the sky was tearing itself apart, huge white explosions illuminating thunder- heads and boiling clouds.",possible OCR: incorrect word splitting across a line break,"It was as if the sky was tearing itself apart, huge white explosions illuminating thunderheads and boiling clouds."
431,"Hoping to see the tracks of Will, Uisdean and John, we pushed on, but figured they must have turned back when we found none.",no significant OCR errors detected,"Hoping to see the tracks of Will, Uisdean and John, we pushed on, but figured they must have turned back when we found none."
442,"I held my breath in nervous expectation of suddenly falling into a slot; these crevasses looked like monstrous, soulless depths.",no significant OCR errors detected,"I held my breath in nervous expectation of suddenly falling into a slot; these crevasses looked like monstrous, soulless depths."
464,I knew Ally needed more medical attention than the single bandage and painkillers Icould offer him.,possible OCR: missing spacing between words,I knew Ally needed more medical attention than the single bandage and painkillers I could offer him.
476,"The Pakistani helicopter crew loaded Ally on board at around 1pm and then came back for me 45 minutes later, flying to a small village where the air force had established a small fuel dump.",possible OCR: missing spacing in time notation,"The Pakistani helicopter crew loaded Ally on board at around 1 pm and then came back for me 45 minutes later, flying to a small village where the air force had established a small fuel dump."
479,"We enjoyed a final meal with our agent and team, recounting wild stories of helicopters and hospitals, of Will and John waiting in a nearby airbase to rescue us as Uisdean packed up base camp to drive through the night.",no significant OCR errors detected,"We enjoyed a final meal with our agent and team, recounting wild stories of helicopters and hospitals, of Will and John waiting in a nearby airbase to rescue us as Uisdean packed up base camp to drive through the night."
481,"As we spilled onto the street, the moon shone over the city, a full lunar cycle completed during our month in the mountains, as we played the Great Game on Koyo Zom.",no significant OCR errors detected,"As we spilled onto the street, the moon shone over the city, a full lunar cycle completed during our month in the mountains, as we played the Great Game on Koyo Zom."
483,"Attempt on north-east ridge of Koyo Zom (6877m), four days to 6,000m, Will Sim, Uisdean Hawthorn and John Crook.",possible OCR: missing spacing in numerical measurement formatting,"Attempt on north-east ridge of Koyo Zom (6877 m), four days to 6,000 m, Will Sim, Uisdean Hawthorn and John Crook."
493,"Like a fifth or so of the buildings in the small village of Thangu, his hotel was indeed very broken.",no significant OCR errors detected,"Like a fifth or so of the buildings in the small village of Thangu, his hotel was indeed very broken."
500,"The deep, jungle-covered and winding valleys of the foothills made for a grand and varied approach to the mountains.",no significant OCR errors detected,"The deep, jungle-covered and winding valleys of the foothills made for a grand and varied approach to the mountains."
509,"The highest point thus far, still a long way from the summit, was reached by a Japanese team in 1992.",no significant OCR errors detected,"The highest point thus far, still a long way from the summit, was reached by a Japanese team in 1992."
524,"The local people were much more interested in searching for caterpillar fungus, the famous yartsa gunbu much in demand in China as an aphrodisiac and cure-all.",no significant OCR errors detected,"The local people were much more interested in searching for caterpillar fungus, the famous yartsa gunbu much in demand in China as an aphrodisiac and cure-all."
536,Suggestions that it was built for military purposes or to take yaks up to a yak racing ground were dismissed in favour of it being some kind of tourist trail.,no significant OCR errors detected,Suggestions that it was built for military purposes or to take yaks up to a yak racing ground were dismissed in favour of it being some kind of tourist trail.
551,"The next day dawned the same but, feeling the need to be in position at the foot of our intended line, we trudged up through the falling snow, pitched our little tent at the foot of the face and set the alarm for an early start.",no significant OCR errors detected,"The next day dawned the same but, feeling the need to be in position at the foot of our intended line, we trudged up through the falling snow, pitched our little tent at the foot of the face and set the alarm for an early start."
553,In the early hours it was still snowing and the temperature was clearly too warm for a good freeze.,no significant OCR errors detected,In the early hours it was still snowing and the temperature was clearly too warm for a good freeze.
563,With endless hours to waste we whiled away the time discussing laughable possibilities interminably.,no significant OCR errors detected,With endless hours to waste we whiled away the time discussing laughable possibilities interminably.
564,The weather still wasn't getting any better.,no significant OCR errors detected,The weather still wasn’t getting any better.
577,The expedition was dead in the water if we couldn’t reach the village of Thangu and getting foreigners there when Indian tourists were banned seemed an almost insuperable problem to us.,possible OCR: missing punctuation causing run-on structure,"The expedition was dead in the water if we couldn’t reach the village of Thangu, and getting foreigners there when Indian tourists were banned seemed an almost insuperable problem to us."
585,"Approval from yet another senior official was secured, a special pass of some sort was granted, the guard at the army camp gate let us through and the villagers of Thangu couldn’t believe it when we arrived.",possible OCR: missing punctuation in a long coordinated sentence,"Approval from yet another senior official was secured, a special pass of some sort was granted, the guard at the army camp gate let us through, and the villagers of Thangu couldn’t believe it when we arrived."
630,"Much as the climbing itself had been a million miles away from the technical ground I love, we had reached 6,100m.",possible OCR: missing spacing in numerical measurement formatting,"Much as the climbing itself had been a million miles away from the technical ground I love, we had reached 6,100 m."
660,"Remarkably the pool was emptied with minimum spillage but in my enthusiasm to apply a new bag, I quickly wasted several of my carefully calculated stock.",possible OCR: missing punctuation affecting clause separation,"Remarkably the pool was emptied with minimum spillage but, in my enthusiasm to apply a new bag, I quickly wasted several of my carefully calculated stock."
679,We discussed various possibilities but in truth we didn’t dither long.,possible OCR: missing punctuation affecting parenthetical phrase,"We discussed various possibilities but, in truth, we didn’t dither long."
682,"Particularly after the health challenges of the last couple of years,I had wanted to prove to myself that I could still climb great Himalayan objectives.",possible OCR: missing spacing after punctuation,"Particularly after the health challenges of the last couple of years, I had wanted to prove to myself that I could still climb great Himalayan objectives."
684,"I was very aware of all the effort medical professionals had put into getting me back in good condition, not to mention the unfailing support of my family and Berghaus.",no significant OCR errors detected,"I was very aware of all the effort medical professionals had put into getting me back in good condition, not to mention the unfailing support of my family and Berghaus."
707,(Jerry Gore),no significant OCR errors detected,(Jerry Gore)
720,"My head and shoulders dropped, as my familiar low self-esteem fermented inside me.",no significant OCR errors detected,"My head and shoulders dropped, as my familiar low self-esteem fermented inside me."
734,It extends around the walls from floor to ceiling and when you walk in you feel totally enveloped in gloom.,no significant OCR errors detected,It extends around the walls from floor to ceiling and when you walk in you feel totally enveloped in gloom.
756,"The normal time to climb the north face is still two days, or even more, and consequently most climbers take bivy gear.",no significant OCR errors detected,"The normal time to climb the north face is still two days, or even more, and consequently most climbers take bivy gear."
763,"His maturity must have something to do with the death of his younger brother, who had been killed in a car crash some years before.",no significant OCR errors detected,"His maturity must have something to do with the death of his younger brother, who had been killed in a car crash some years before."
767,"I waited for questions about fitness, route conditions and partner ability (i.e. me).",no significant OCR errors detected,"I waited for questions about fitness, route conditions and partner ability (i.e. me)."
771,but it's still cold on the face to reduce rock fall and there's still sufficient snow and ice to make the climbing easier.,possible OCR: missing punctuation separating coordinated clauses,"But it’s still cold on the face to reduce rock fall, and there’s still sufficient snow and ice to make the climbing easier."
781,"I wasn't fit, conditions were uncertain and I still had to learn the technicalities of 'speed climbing' rather than just climbing—a totally different affair as I was soon to find out.",possible OCR: punctuation degradation affecting sentence clarity,"I wasn’t fit, conditions were uncertain and I still had to learn the technicalities of ‘speed climbing’ rather than just climbing — a totally different affair, as I was soon to find out."
794,He made a huge difference to our attempt and I still feel deeply honoured that he gave me so much of his valuable time in helping me.,no significant OCR errors detected,He made a huge difference to our attempt and I still feel deeply honoured that he gave me so much of his valuable time in helping me.
804,Simplistically it is about ascending steep hills involving vertical height gains of 800m or more but over short horizontal distances.,possible OCR: missing spacing in numerical measurement formatting,Simplistically it is about ascending steep hills involving vertical height gains of 800 m or more but over short horizontal distances.
812,My long-suffering wife Jackie got on with the day-to-day business of running our company while dealing with my mood swings as my blood sugars began to oscillate.,no significant OCR errors detected,My long-suffering wife Jackie got on with the day-to-day business of running our company while dealing with my mood swings as my blood sugars began to oscillate.
826,My body was already com- plaining and injury is a real possibility for the over 50s.,possible OCR: incorrect word splitting across a line break,My body was already complaining and injury is a real possibility for the over 50s.
866,It was already early evening and we still had a lot of prep before we could sleep.,no significant OCR errors detected,It was already early evening and we still had a lot of prep before we could sleep.
891,Now it was approaching that time and we all knew the sun would be hitting the upper snowfields releasing its deadly fusillade.,possible OCR: missing punctuation affecting participial phrase clarity,"Now it was approaching that time and we all knew the sun would be hitting the upper snowfields, releasing its deadly fusillade."
901,Was I still good enough to do this game?,no significant OCR errors detected,Was I still good enough to do this game?
912,Then I reflected on why I was here in the first place: raising money to help impoverished families with children who had type-1 diabetes.,no significant OCR errors detected,Then I reflected on why I was here in the first place: raising money to help impoverished families with children who had type-1 diabetes.
916,He was an eight-year-old boy I had met at a diabetes camp in the Philippines a year earlier.,no significant OCR errors detected,He was an eight-year-old boy I had met at a diabetes camp in the Philippines a year earlier.
919,Insulin med- ication in many parts of south-east Asia is often beyond the reach of most households and without it a newly diagnosed type-1 child will die slowly and painfully within six months.,possible OCR: incorrect word splitting across a line break,Insulin medication in many parts of south-east Asia is often beyond the reach of most households and without it a newly diagnosed type-1 child will die slowly and painfully within six months.
923,"His blood sugars were over 400mg/dL, or milligrams per decilitre: a death sentence given that the average for a non-diabetic person is just 100mg/dL.",possible OCR: missing spacing in numerical measurement formatting,"His blood sugars were over 400 mg/dL, or milligrams per decilitre: a death sentence given that the average for a non-diabetic person is just 100 mg/dL."
925,By day four his sugars had dropped significantly and starting to stabilise.,possible OCR: missing auxiliary verb causing grammatical inconsistency,By day four his sugars had dropped significantly and were starting to stabilise.
940,He knew we had the tech- nical skills to tackle anything on the face.,possible OCR: incorrect word splitting across a line break,He knew we had the technical skills to tackle anything on the face.
949,This was still a little low but it was rising fast and I knew that my carb-rich breakfast would counter the effect of the intensive exercise coming up.,no significant OCR errors detected,This was still a little low but it was rising fast and I knew that my carb-rich breakfast would counter the effect of the intensive exercise coming up.
951,The black sky was a million tiny shards of light and I gulped it in as we raced across the base of the beast.,no significant OCR errors detected,The black sky was a million tiny shards of light and I gulped it in as we raced across the base of the beast.
955,Soon we were pulling ourselves across the legendary Hinterstoisser Traverse and I saw the sun for the first time: a smoky yellow ball hanging low on the horizon.,no significant OCR errors detected,Soon we were pulling ourselves across the legendary Hinterstoisser Traverse and I saw the sun for the first time: a smoky yellow ball hanging low on the horizon.
960,"Unluckily for us its magic veneer of ice had gone and we were forced to take turns dry tooling technical sections of blank rock, pulling hard on ice axes hooked on millimetres of crumbly limestone.",no significant OCR errors detected,"Unluckily for us its magic veneer of ice had gone and we were forced to take turns dry tooling technical sections of blank rock, pulling hard on ice axes hooked on millimetres of crumbly limestone."
999,We were now in the sun and it was still only early afternoon.,no significant OCR errors detected,We were now in the sun and it was still only early afternoon.
1022,"Calum had gone, racing off down the hill, eager to be reunited with his car so he could get back to Chamonix in time for the last cable car.",no significant OCR errors detected,"Calum had gone, racing off down the hill, eager to be reunited with his car so he could get back to Chamonix in time for the last cable car."
1027,"The north face of the Alguille des Pelerins (3318m) in winter, seamed with ice runnels.",possible OCR: misspelling in geographical name and missing spacing in numerical measurement formatting,"The north face of the Aiguille des Pélerins (3318 m) in winter, seamed with ice runnels."
1029,"The temperature was falling, and the gusty frigid winds penetrated right through to the bone.",no significant OCR errors detected,"The temperature was falling, and the gusty frigid winds penetrated right through to the bone."
1031,"Al Powell, that gnarly and incredibly understated British alpinist of the 1990s and 2000s, was dragging me up a winter ascent of the Rebuffat-Terray on the north face of the Aiguille des Pelerins.",possible OCR: missing accent in geographical name,"Al Powell, that gnarly and incredibly understated British alpinist of the 1990s and 2000s, was dragging me up a winter ascent of the Rebuffat-Terray on the north face of the Aiguille des Pélerins."
1045,But I don't despair; the optimist will always win I tell myself.,possible OCR: missing punctuation affecting clause separation,"But I don’t despair; the optimist will always win, I tell myself."
1051,"My regular climbing partner Matt Helliker never needs persuading and we included in the party the Derbyshire lad Pete Whittaker, world-renowned master of crack climbing.",no significant OCR errors detected,"My regular climbing partner Matt Helliker never needs persuading and we included in the party the Derbyshire lad Pete Whittaker, world-renowned master of crack climbing."
1054,"Circumstances beyond our control meant we were short on time and instead of an appropriately early start from a bivouac at the Plan de l'Aiguille, we headed up on the first cable car: not ideal given the day's objective.",no significant OCR errors detected,"Circumstances beyond our control meant we were short on time and instead of an appropriately early start from a bivouac at the Plan de l’Aiguille, we headed up on the first cable car: not ideal given the day’s objective."
